               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.028904,            0.026205,          0.00068827,             0.84478,             0.86392,             0.90887,             0.59426,            0.020424,           0.0099762,          0.00018604,            0.003994,            0.003994,            0.003994
                  93,            0.028688,            0.026829,          0.00086602,             0.85351,              0.8589,             0.90627,              0.5944,            0.020673,            0.010042,           0.0001644,            0.003928,            0.003928,            0.003928
                  94,            0.028864,            0.026819,          0.00089115,             0.83914,             0.86594,             0.91444,             0.60658,            0.020045,           0.0097158,          0.00017728,            0.003862,            0.003862,            0.003862
                  95,             0.02896,            0.027127,          0.00077756,             0.85565,             0.87055,             0.91841,             0.59823,            0.020255,           0.0098443,          0.00017015,            0.003796,            0.003796,            0.003796
                  96,              0.0287,            0.026255,          0.00084688,              0.8501,              0.8745,             0.91758,             0.60101,            0.020495,           0.0096575,          0.00016304,             0.00373,             0.00373,             0.00373
                  97,            0.028806,            0.026563,          0.00073507,             0.83703,             0.86537,             0.91062,             0.59985,            0.020259,           0.0097421,          0.00017839,            0.003664,            0.003664,            0.003664
                  98,            0.028655,            0.026099,          0.00069136,             0.83675,             0.83065,             0.89226,             0.55931,            0.021355,            0.010667,          0.00027159,            0.003598,            0.003598,            0.003598
                  99,            0.028471,            0.025449,          0.00066621,             0.86232,             0.89039,             0.92815,             0.61631,            0.019872,           0.0094912,          0.00014622,            0.003532,            0.003532,            0.003532
                 100,            0.028912,            0.026324,          0.00094899,             0.85265,             0.88961,             0.92836,              0.6204,            0.019463,           0.0094865,          0.00014852,            0.003466,            0.003466,            0.003466
                 101,            0.027934,            0.025865,          0.00075902,             0.85063,             0.88016,             0.91974,             0.60056,            0.020169,           0.0096287,          0.00016228,              0.0034,              0.0034,              0.0034
                 102,            0.028497,            0.025679,          0.00078146,             0.82745,             0.87914,             0.90816,             0.60154,            0.020078,           0.0096947,          0.00015402,            0.003334,            0.003334,            0.003334
                 103,             0.02804,            0.025449,          0.00088691,             0.84828,             0.87814,             0.92229,             0.61028,            0.019691,           0.0094876,          0.00017196,            0.003268,            0.003268,            0.003268
                 104,            0.028066,            0.026128,          0.00098945,             0.85922,             0.87647,             0.92247,             0.61865,            0.019492,           0.0094296,           0.0002643,            0.003202,            0.003202,            0.003202
                 105,            0.027897,            0.025616,          0.00066633,             0.87492,             0.87114,             0.92678,             0.61748,            0.019548,           0.0093795,          0.00015124,            0.003136,            0.003136,            0.003136
                 106,            0.027685,            0.025913,          0.00082851,             0.87229,             0.88974,             0.92868,             0.61826,            0.019579,           0.0093721,           0.0001514,             0.00307,             0.00307,             0.00307
                 107,            0.028217,            0.025766,          0.00082876,             0.88044,             0.88763,              0.9402,             0.63539,            0.019041,           0.0091606,          0.00014096,            0.003004,            0.003004,            0.003004
                 108,            0.027814,            0.025507,          0.00094064,             0.86601,             0.88288,             0.92812,             0.61617,            0.019738,           0.0094471,          0.00013872,            0.002938,            0.002938,            0.002938
                 109,            0.028372,            0.025801,           0.0007339,             0.87118,             0.88445,              0.9327,             0.63323,            0.019108,           0.0091587,          0.00014233,            0.002872,            0.002872,            0.002872
                 110,            0.027306,            0.025344,          0.00084818,              0.8802,             0.89309,             0.93641,             0.63952,            0.018628,           0.0089986,           0.0001507,            0.002806,            0.002806,            0.002806
                 111,            0.027631,            0.024948,          0.00067725,             0.87781,             0.88456,             0.93109,             0.63085,              0.0191,           0.0091723,          0.00013267,             0.00274,             0.00274,             0.00274
                 112,            0.027655,            0.024994,          0.00072718,             0.88304,             0.89723,             0.94162,             0.63759,            0.018639,           0.0090831,          0.00013266,            0.002674,            0.002674,            0.002674
                 113,            0.027376,            0.025397,          0.00084265,             0.88777,             0.90238,             0.94497,             0.64314,            0.018426,           0.0088923,          0.00012531,            0.002608,            0.002608,            0.002608
                 114,            0.027215,            0.024774,          0.00099048,             0.89494,             0.87726,             0.93627,             0.63737,             0.01911,           0.0090752,          0.00013319,            0.002542,            0.002542,            0.002542
                 115,            0.026916,            0.024542,          0.00090989,             0.88288,              0.8844,             0.93312,              0.6348,            0.018506,           0.0089744,          0.00012255,            0.002476,            0.002476,            0.002476
                 116,            0.026928,            0.024854,          0.00062453,             0.88622,             0.89767,             0.94579,             0.65259,            0.018318,           0.0087383,          0.00010924,             0.00241,             0.00241,             0.00241
                 117,            0.026871,            0.025504,          0.00085253,             0.87439,             0.89721,             0.94151,             0.64437,            0.018548,           0.0088818,          0.00012272,            0.002344,            0.002344,            0.002344
                 118,            0.026686,             0.02458,          0.00055147,             0.88706,             0.90669,              0.9468,             0.64713,            0.018414,           0.0088692,          0.00010492,            0.002278,            0.002278,            0.002278
                 119,            0.026733,            0.024053,          0.00085615,             0.85721,             0.88164,             0.92097,             0.61949,            0.019241,           0.0092504,          0.00015151,            0.002212,            0.002212,            0.002212
                 120,            0.026549,            0.024571,          0.00057945,             0.89386,             0.89021,             0.94279,             0.64956,            0.018374,           0.0088051,          0.00010834,            0.002146,            0.002146,            0.002146
                 121,            0.026753,            0.024376,          0.00068535,             0.89197,             0.90944,             0.94826,             0.65914,             0.01819,           0.0085963,          0.00011044,             0.00208,             0.00208,             0.00208
                 122,            0.026549,            0.024606,          0.00073498,              0.8879,             0.91541,             0.95123,             0.65828,            0.017808,           0.0085852,          0.00013964,            0.002014,            0.002014,            0.002014
                 123,            0.026251,            0.024597,          0.00069896,             0.89259,             0.89045,             0.93719,             0.64303,            0.018072,           0.0087638,          0.00011558,            0.001948,            0.001948,            0.001948
                 124,            0.026392,            0.023873,          0.00062189,             0.88658,             0.91177,             0.95138,              0.6621,            0.017728,           0.0085872,          0.00010321,            0.001882,            0.001882,            0.001882
                 125,            0.026299,            0.023904,          0.00060773,             0.90814,             0.91485,             0.95634,             0.67136,            0.017539,           0.0084185,          8.8043e-05,            0.001816,            0.001816,            0.001816
                 126,            0.026432,             0.02415,          0.00057982,             0.90798,             0.91858,             0.95973,             0.68031,            0.017524,           0.0083214,          9.3341e-05,             0.00175,             0.00175,             0.00175
                 127,             0.02618,            0.024541,          0.00059778,              0.9075,             0.92674,             0.96365,             0.68258,             0.01767,           0.0082854,          9.2841e-05,            0.001684,            0.001684,            0.001684
                 128,            0.025781,            0.023971,          0.00053567,             0.91281,             0.91632,             0.96178,             0.67852,            0.017333,           0.0083123,          8.8682e-05,            0.001618,            0.001618,            0.001618
                 129,            0.025724,             0.02431,          0.00062443,             0.91134,             0.91887,             0.96014,             0.67908,            0.017341,           0.0082998,          0.00011502,            0.001552,            0.001552,            0.001552
                 130,            0.025424,             0.02309,           0.0006041,               0.908,              0.9154,             0.95678,             0.67689,            0.017453,           0.0082578,          8.9835e-05,            0.001486,            0.001486,            0.001486
                 131,            0.025871,            0.023445,          0.00061811,             0.89662,             0.91764,             0.95777,             0.67963,            0.017289,           0.0082718,          8.6674e-05,             0.00142,             0.00142,             0.00142
                 132,             0.02536,            0.023494,          0.00051216,             0.90459,             0.92547,             0.96137,             0.68173,            0.017203,           0.0082357,          8.7103e-05,            0.001354,            0.001354,            0.001354
                 133,            0.025732,             0.02399,          0.00072676,             0.91344,             0.92844,              0.9613,             0.68409,             0.01713,           0.0081126,           8.149e-05,            0.001288,            0.001288,            0.001288
                 134,            0.026017,            0.023847,          0.00089342,             0.90579,             0.91939,             0.95979,             0.68458,            0.017051,           0.0081241,          7.8174e-05,            0.001222,            0.001222,            0.001222
                 135,            0.025679,            0.023697,           0.0004761,             0.90954,             0.92334,             0.96231,             0.68353,            0.017211,           0.0081191,          7.4692e-05,            0.001156,            0.001156,            0.001156
                 136,            0.025511,            0.023168,          0.00089236,             0.91485,             0.91867,             0.96265,             0.69001,            0.017023,           0.0080489,          7.5701e-05,             0.00109,             0.00109,             0.00109
                 137,            0.025471,            0.023502,          0.00048184,             0.90162,             0.92468,             0.95752,             0.67968,            0.017164,           0.0081817,          7.7192e-05,            0.001024,            0.001024,            0.001024
                 138,            0.025444,            0.023095,          0.00055254,             0.91653,             0.92918,              0.9653,             0.69215,            0.016488,           0.0079479,          7.6503e-05,            0.000958,            0.000958,            0.000958
                 139,            0.024802,            0.023487,          0.00043431,             0.91612,             0.93312,             0.96609,             0.69464,             0.01654,           0.0079436,           7.489e-05,            0.000892,            0.000892,            0.000892
                 140,            0.024668,            0.023056,          0.00054912,             0.92282,             0.93459,             0.96722,             0.70157,            0.016358,           0.0078556,          6.8844e-05,            0.000826,            0.000826,            0.000826
                 141,            0.024996,            0.023414,          0.00043369,             0.91724,             0.93873,             0.96828,             0.70206,            0.016426,           0.0078011,          6.6037e-05,             0.00076,             0.00076,             0.00076
                 142,            0.024913,            0.023156,          0.00064466,              0.9216,             0.93332,             0.96744,             0.70089,            0.016405,           0.0078608,          6.6888e-05,            0.000694,            0.000694,            0.000694
                 143,            0.024607,             0.02322,          0.00054714,              0.9243,             0.93447,             0.96912,             0.70524,            0.016334,           0.0078012,          6.8079e-05,            0.000628,            0.000628,            0.000628
                 144,            0.025061,            0.022942,          0.00049568,             0.92233,              0.9412,             0.97099,              0.7094,            0.016293,           0.0077515,          7.1444e-05,            0.000562,            0.000562,            0.000562
                 145,            0.024594,            0.023266,          0.00072687,             0.92312,             0.93546,             0.96989,             0.70395,            0.016364,           0.0077504,           7.353e-05,            0.000496,            0.000496,            0.000496
                 146,             0.02406,            0.023039,          0.00058134,              0.9276,             0.93726,             0.97134,             0.71131,            0.016078,           0.0076777,          6.8564e-05,             0.00043,             0.00043,             0.00043
                 147,            0.024342,            0.023122,          0.00040029,             0.92585,             0.93295,             0.97089,             0.71011,            0.016055,           0.0077101,          6.5436e-05,            0.000364,            0.000364,            0.000364
                 148,            0.024255,            0.023317,          0.00056161,              0.9278,             0.93834,             0.97298,             0.71308,            0.015993,           0.0076525,          6.5756e-05,            0.000298,            0.000298,            0.000298
                 149,            0.024453,            0.023259,          0.00045869,             0.93004,             0.93977,             0.97174,             0.71087,            0.016029,           0.0076329,          6.5095e-05,            0.000232,            0.000232,            0.000232
